num;open;close;low;high
563;106.18;108.62;105.51;109.01;
564;108.85;106.33;105.67;109.37;
565;105.86;104.66;103.76;106.12;
566;104.05;103.1;102.44;105.95;
567;103.56;101.09;100.65;103.95;
568;101.51;102.54;101.21;103.55;
569;101.93;103.93;101.43;104.95;
570;103.66;103.04;102.21;105.63;
571;103.25;103.05;102.82;104.95;
572;102.74;97.07;96.88;103.01;
573;97.56;100.65;97.3;101.1;
574;100.18;100.24;99.6;101.68;
575;99.91;98.24;97.8;100.62;
576;97.66;97.6;96.17;98.31;
577;98.41;100.36;98.29;100.84;
578;100.32;102.37;100.14;102.57;
579;102.58;103.62;102.51;105.14;
580;103.08;99.44;98.83;103.21;
581;98.95;99.01;97.7;100.85;
582;99.45;99.81;99.06;100.36;
583;100.16;102.86;100.09;102.94;
584;103.44;101.3;100.33;103.82;
585;101.89;101.45;100.84;102.38;
586;101.3;100.3;99.51;101.59;
587;100.37;101.71;99.69;102.45;
588;101.71;101.61;100.51;101.89;
589;93.75;91.16;91.06;94.95;
590;90.06;91.66;88.48;92.84;
591;92.7;91.57;91.32;93.95;
592;90.91;92.92;90.3;93.08;
593;91.2;87.57;86.92;93.02;
594;86.33;86.18;85.13;88.31;
595;87.2;86.7;85.81;89.75;
596;84.86;84.01;82.16;85.15;
597;83.98;86.02;83.3;87.18;
598;88.12;91.75;87.57;92.23;
599;92.46;91.3;89.95;93.3;
600;89.53;91.55;88.82;91.8;
601;92.04;95.68;91.53;96.31;
602;95.72;96.63;94.27;97.22;
603;97.2;95.99;95.08;98.66;
604;96.16;96.54;95.35;97.55;
605;95.82;94.47;93.82;97.14;
606;93.89;94.57;93.67;96.85;
607;96.93;97.47;96.66;98.25;
608;97.05;97.26;96.4;98.03;
609;97.08;94.69;93.88;97.89;
610;94.03;94.11;92.75;95.68;
611;93.3;96.45;93.11;96.72;
612;95.74;94.38;93.08;96.13;
613;95.47;94.8;94.23;95.72;
614;96.02;95.2;94.88;96.32;
615;96.02;96.47;95.67;97.24;
616;96.57;99.25;96.11;99.44;
617;99.69;102.53;99.68;102.73;
618;102.02;101.23;101.03;103.6;
619;102.62;103.19;102.44;104.44;
620;102.05;101.89;100.85;102.76;
621;102.68;103.9;101.54;104.38;
622;104.93;106.12;104.76;107.08;
623;105.6;106.83;104.84;107.41;
624;107.55;108.16;106.47;108.84;
625;109.04;106.25;106.15;109.25;
626;106.64;106.84;105.34;107.57;
627;107.42;108.86;106.65;108.97;
628;109.27;109.39;108.61;110.24;
629;109.05;108.47;107.57;109.14;
630;108.31;108.38;107.7;109.93;
631;109.15;109.22;108.5;109.9;
632;109.25;109.3;107.96;109.52;
633;109.51;106.62;106.02;110.22;
634;107.16;106.94;106.08;107.23;
635;107.77;109.37;107.77;109.55;
636;109.52;112.16;108.84;112.43;
637;111.55;112.17;110.55;112.97;
638;112.34;111.6;111.06;114.25;
639;111.31;109.04;108.76;112.16;
640;108.62;108.04;107.8;108.83;
641;108.3;107.94;107.05;109.3;
642;110.03;108.13;107.69;110.04;
643;108.37;107.08;105.35;108.38;
644;108.01;109.39;107.52;109.91;
645;108.63;109.75;107.32;110.59;
646;108.78;108.43;107.01;109.4;
647;107.15;108.35;107.15;109.69;
648;107.03;106.82;106.0;107.64;
649;107.45;108.26;107.05;108.3;
650;109.07;108.47;107.62;109.38;
